config,error
[196/240] o_shank | rbf-s1 | riemann_advanced_data_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[197/240] o_shank | rbf-s1 | zeta_data_map | Y+YY | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[198/240] o_shank | rbf-s1 | zeta_data_map | Y+YY | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[199/240] o_shank | rbf-s1 | zeta_data_map | Y+YY | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[200/240] o_shank | rbf-s1 | zeta_data_map | Y+YY | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[201/240] o_shank | rbf-s1 | riemann_data_map | X+XX | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[202/240] o_shank | rbf-s1 | riemann_data_map | X+XX | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[203/240] o_shank | rbf-s1 | riemann_data_map | X+XX | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[204/240] o_shank | rbf-s1 | riemann_data_map | X+XX | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[205/240] o_shank | rbf-s1 | riemann_spectral_data_map | X+XX | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[206/240] o_shank | rbf-s1 | riemann_spectral_data_map | X+XX | linear | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[207/240] o_shank | rbf-s1 | riemann_spectral_data_map | X+XX | full | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[208/240] o_shank | rbf-s1 | riemann_spectral_data_map | X+XX | full | r=2,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
[209/240] o_shank | rbf-s1 | riemann_quantum_interference_map | X+XX | linear | r=1,[Errno 2] No such file or directory: '../dataset/o_shank.csv'
